iter	Passed	Remaining
0	3	327
1	5	282
2	8	277
3	10	254
4	12	244
5	15	239
6	17	232
7	19	224
8	21	220
9	23	214
10	25	209
11	28	207
12	30	203
13	32	200
14	34	196
15	36	193
16	39	190
17	40	186
18	42	181
19	44	177
20	46	173
21	47	168
22	48	163
23	50	158
24	51	154
25	52	150
26	53	145
27	55	141
28	56	138
29	57	134
30	59	131
31	60	128
32	61	125
33	62	121
34	64	119
35	65	116
36	66	113
37	67	110
38	69	108
39	70	105
40	71	103
41	72	99
42	73	97
43	74	95
44	76	92
45	77	90
46	78	88
47	79	86
48	81	84
49	82	82
50	83	80
51	85	78
52	86	76
53	87	74
54	88	72
55	89	70
56	91	68
57	92	66
58	93	65
59	94	63
60	96	61
61	97	59
62	98	58
63	100	56
64	101	54
65	102	52
66	104	51
67	105	49
68	106	47
69	107	46
70	109	44
71	110	42
72	111	41
73	112	39
74	114	38
75	115	36
76	116	34
77	117	33
78	119	31
79	120	30
80	121	28
81	122	26
82	124	25
83	125	23
84	126	22
85	128	20
86	130	19
87	131	17
88	133	16
89	134	14
90	136	13
91	137	11
92	138	10
93	140	8
94	141	7
95	143	5
96	144	4
97	145	2
98	147	1
99	148	0
